name,price,rating,review_count,genres,install_count
Weather Live Pro,$4.49 ,4.8,17493,Weather,"100,000+"
K keyboard - Myanmar,0,4.8,1955,Tools,"100,000+"
KPOP Amino for K-Pop Entertainment,0,4.8,19047,Social,"100,000+"
Day R Premium,$4.99 ,4.8,51068,Role Playing,"100,000+"
BTS V LINE Launcher theme,0,4.8,3283,Personalization,"100,000+"
"Abs, Core & Back Workout Challenge",0,4.8,3908,Health & Fitness,"100,000+"
"ABS Workout - Belly workout, 30 days AB",0,4.8,5103,Health & Fitness,"100,000+"
Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru,0,4.9,10479,Auto & Vehicles,"100,000+"
Quran for All (Al-Huda Int.),0,4.8,6696,Education,"100,000+"
QR Code Pro,$4.49 ,4.8,5865,Productivity,"100,000+"
Dr. B.R.Ambedkar,0,4.8,1902,Social,"100,000+"
CT-ART 4.0 (Chess Tactics 1200-2400 ELO),0,4.8,8191,Board,"100,000+"
The House of Da Vinci,$4.99 ,4.8,12400,Puzzle,"100,000+"
Du Chinese – Mandarin Lessons,0,4.8,3390,Education,"100,000+"
TeamWard – live help for LoL,0,4.8,3136,Entertainment,"100,000+"
FC Porto,0,4.9,15883,Sports,"100,000+"
The 5th Stand,0,4.8,1697,Sports,"100,000+"
Kernel Manager for Franco Kernel ✨,$3.49 ,4.8,12700,Tools,"100,000+"
Period Tracker - Period Calendar Ovulation Tracker,0,4.8,4559407,Health & Fitness,"100,000,000+"
Neon Glow C - Icon Pack,$0.99 ,4.8,557,Personalization,"10,000+"
30 Day AB Challenge - Lumowell,0,4.8,793,Health & Fitness,"10,000+"
Live Tennis Rankings / LTR,0,4.8,1660,Sports,"10,000+"
Flud (Ad free),$1.49 ,4.8,5639,Video Players & Editors,"10,000+"
Alarmy (Sleep If U Can) - Pro,$2.49 ,4.8,10249,Lifestyle,"10,000+"
FiSwitch,$1.99 ,4.8,615,Tools,"10,000+"
IRS W-9 form,0,4.8,492,Business,"10,000+"
Eddsworld Amino,0,4.9,3071,Social,"10,000+"
X Launcher Pro - IOS Style Theme & Control Center,$1.99 ,4.8,1216,Art & Design,"10,000+"
FK Željezničar,0,4.9,1420,Sports,"10,000+"
ZArchiver Donate,$2.50 ,4.8,1721,Tools,"10,000+"
BTS j-hope LINE Launcher theme,0,4.9,934,Personalization,"10,000+"
Sufara.ba,0,4.9,285,Education,"10,000+"
Ek Maratha,0,4.8,725,Social,"10,000+"
Live Weather Pro,0,4.8,892,Weather,"10,000+"
Official Madhuban Murli,0,4.9,301,Lifestyle,"10,000+"
POLARIS 2MFG,0,4.8,1228,Education,"10,000+"
"Borneo Bible, BM Bible",0,4.9,659,Books & Reference,"10,000+"
FK Crvena zvezda,0,4.9,1211,Sports,"10,000+"
DQSalmaan - A fan made App,0,4.9,707,Entertainment,"10,000+"
Br Shafi,0,4.9,1288,Education,"10,000+"
Wordscapes,0,4.8,230727,Word,"10,000,000+"
SofaScore Live Score,0,4.8,221722,Sports,"10,000,000+"
Lose Weight in 30 Days,0,4.8,220125,Health & Fitness,"10,000,000+"
Video Player All Format,0,4.8,258277,Video Players & Editors,"10,000,000+"
Six Pack in 30 Days - Abs Workout,0,4.9,272337,Health & Fitness,"10,000,000+"
Home Workout - No Equipment,0,4.8,428156,Health & Fitness,"10,000,000+"
Dan the Man: Action Platformer,0,4.8,528550,Arcade,"10,000,000+"
Vlogger Go Viral - Tuber Game,0,4.8,1304467,Strategy,"10,000,000+"
Video Player All Format,0,4.8,259003,Video Players & Editors,"10,000,000+"
Wordscapes,0,4.8,230727,Word,"10,000,000+"
Wordscapes,0,4.8,230710,Word,"10,000,000+"
Period Tracker Clue: Period and Ovulation Tracker,0,4.8,570242,Health & Fitness,"10,000,000+"
Eternium,0,4.8,1506783,Role Playing,"10,000,000+"
Amino: Communities and Chats,0,4.8,1259075,Social,"10,000,000+"
Fernanfloo,0,4.8,526595,Arcade,"10,000,000+"
Video Downloader - for Instagram Repost App,0,4.8,332623,Video Players & Editors,"10,000,000+"
JW Library,0,4.9,922752,Books & Reference,"10,000,000+"
File Manager by Xiaomi: release file storage space,0,4.8,337532,Tools,"10,000,000+"
PewDiePie's Tuber Simulator,0,4.8,1499466,Casual,"10,000,000+"
Six Pack in 30 Days - Abs Workout,0,4.9,272172,Health & Fitness,"10,000,000+"
Abs Workout - Burn Belly Fat with No Equipment,0,4.8,69279,Health & Fitness,"10,000,000+"
"No. Color - Color by Number, Number Coloring",0,4.8,269194,Entertainment;Brain Games,"10,000,000+"
Amino: Communities and Chats,0,4.8,1264084,Social,"10,000,000+"
Home Workout - No Equipment,0,4.8,432160,Health & Fitness,"10,000,000+"
Wordscapes,0,4.8,230849,Word,"10,000,000+"
30 Day Fitness Challenge - Workout at Home,0,4.8,471036,Health & Fitness,"10,000,000+"
"Cash, Inc. Money Clicker Game & Business Adventure",0,4.8,549720,Simulation,"10,000,000+"
Al Quran Indonesia,0,4.8,445756,Books & Reference,"10,000,000+"
BZ Reminder PRO,$3.99 ,4.8,726,Business,"1,000+"
Be Stronger,$1.99 ,4.8,787,Health & Fitness,"1,000+"
BW-Go,$3.49 ,4.8,265,Board,"1,000+"
PixPanda - Color by Number Pixel Art Coloring Book,0,4.9,55723,Entertainment,"1,000,000+"
"ipsy: Makeup, Beauty, and Tips",0,4.9,49790,Beauty,"1,000,000+"
Weather forecast,0,4.8,159455,Weather,"1,000,000+"
ClanPlay: Community and Tools for Gamers,0,4.8,34443,Communication,"1,000,000+"
Calcy IV,0,4.8,36557,Tools,"1,000,000+"
Tickets + PDA 2018 Exam,0,4.9,197136,Auto & Vehicles,"1,000,000+"
SoloLearn: Learn to Code for Free,0,4.8,256079,Education,"1,000,000+"
"Learn Japanese, Korean, Chinese Offline & Free",0,4.9,133136,Education;Education,"1,000,000+"
WebComics,0,4.8,33783,Comics,"1,000,000+"
Pedometer - Step Counter Free & Calorie Burner,0,4.8,31139,Health & Fitness,"1,000,000+"
Koran Read &MP3 30 Juz Offline,0,4.8,29551,Books & Reference,"1,000,000+"
Sportractive GPS Running Cycling Distance Tracker,0,4.8,48276,Health & Fitness,"1,000,000+"
Should I Answer?,0,4.8,237468,Communication,"1,000,000+"
Abs workout - 21 Day Fitness Challenge,0,4.8,18604,Health & Fitness,"1,000,000+"
Free Books - Spirit Fanfiction and Stories,0,4.8,116507,Books & Reference,"1,000,000+"
Drag'n'Boom,0,4.8,133180,Arcade,"1,000,000+"
GoodRx Drug Prices and Coupons,0,4.8,59158,Medical,"1,000,000+"
Ovia Pregnancy Tracker & Baby Countdown Calendar,0,4.8,102858,Medical,"1,000,000+"
Pregnancy Week By Week,0,4.8,78825,Medical,"1,000,000+"
Ovia Fertility Tracker & Ovulation Calculator,0,4.8,53743,Medical,"1,000,000+"
Pregnancy Calculator and Tracker app,0,4.8,69126,Medical,"1,000,000+"
Period Tracker,0,4.9,100082,Medical,"1,000,000+"
Home Workout for Men - Bodybuilding,0,4.8,12705,Health & Fitness,"1,000,000+"
Ovia Fertility Tracker & Ovulation Calculator,0,4.8,53747,Medical,"1,000,000+"
El Falı,0,4.8,36968,Entertainment,"1,000,000+"
FreePrints – Free Photos Delivered,0,4.8,109500,Photography,"1,000,000+"
Sleep Sounds,0,4.8,51227,Health & Fitness,"1,000,000+"
StrongLifts 5x5 Workout Gym Log & Personal Trainer,0,4.9,66791,Health & Fitness,"1,000,000+"
"Yoriza Pension - travel, lodging, pension, camping, caravan, pool villas accommodation discount",0,4.8,17882,Travel & Local,"1,000,000+"
TravelPirates,0,4.8,43054,Travel & Local,"1,000,000+"
Calculator with Percent (Free),0,4.8,48211,Tools,"1,000,000+"
Prana Breath: Calm & Meditate,0,4.8,31665,Health & Fitness,"1,000,000+"
Nature Sounds,0,4.8,28588,Lifestyle,"1,000,000+"
Job Search by ZipRecruiter,0,4.8,148945,Business,"1,000,000+"
ReadEra – free ebook reader,0,4.8,47303,Books & Reference,"1,000,000+"
GPS Speedometer and Odometer,0,4.8,15865,Maps & Navigation,"1,000,000+"
